id,predicted_price
2591820310,378729.2
7974200820,882629.44
7701450110,1163192.1
9522300010,1689173.5
9510861140,757865.44
1761300310,233664.3
7732410120,792676.56
7010701383,631150.56
291310170,427576.94
4232901990,588910.7
6840701125,670906.06
3971700580,417022.84
4202400078,232680.1
6064800090,400776.38
2626119028,205014.16
3303980660,1046877.2
862000020,921719.9
2386000070,955826.9
1138000450,373855.1
1775800420,476552.25
2291401425,373951.97
2025770560,800907.2
3525069037,689918.56
9324800450,586160.2
8080400136,521001.03
8651540040,508835.06
9407001790,251265.66
1773101530,215656.45
9432900250,346229.25
1794500695,716783.1
2220069003,371085.6
923000120,561470.9
5728000060,554208.94
16000200,235496.73
1926059094,453007.3
6672900220,1063815.0
3629860060,809580.4
1822069109,392435.25
6675500105,363481.84
249000180,1911050.4
226059065,531414.44
396100110,275704.94
9264450460,344844.8
7853361210,376661.78
9474700020,275609.47
421000455,254351.84
3755200220,414710.1
7960100075,511993.03
9477100490,411366.16
9138100350,850929.7
1624049275,481066.72
2770606890,522079.56
1157200189,360897.3
2770601800,507361.6
9301300805,561596.3
2325069032,1205847.2
1021079099,364339.06
7215730040,743008.2
1853200080,491923.47
3224600340,687234.44
3222049120,404769.3
2113700025,292400.12
7893207925,213041.6
3586501085,592129.25
8024200010,394752.44
7116500705,162285.9
1598600209,332175.0
7204200025,1100085.9
4206901505,601127.75
2937300440,897445.25
7205000180,353822.1
8718500665,358330.4
5318101765,964160.25
4122700020,969594.75
8078700020,545604.25
3303980680,924721.3
8924100372,1165655.5
2781270210,191504.53
519000043,554047.9
3225069301,1571535.2
151000075,819090.94
2297400020,440702.78
6617500085,580010.06
104510180,231652.83
3528900060,979430.8
3345100286,476100.9
1226039130,422671.84
8712100720,874377.6
3037200010,448437.94
3626039268,439426.9
104510230,242733.61
5112800060,424655.9
6072400280,648391.6
5317100570,1216787.1
9528102993,577665.06
2919201095,520065.0
6181400920,277720.3
185000161,244062.52
8691400010,809371.7
3345700165,515382.2
6151800486,259804.42
4340000080,1349268.4
4136960010,587451.5
3634100030,343531.1
1624059224,1004340.7
2788400090,262269.6
9828200762,384834.4
7524400250,559857.0
3528000290,760775.7
5700003630,2064666.2
2720069019,330902.38
7227501170,241518.19
2397101270,651834.94
6792100090,728746.2
2770602265,500446.8
3971700937,256313.7
422049203,216929.9
3076500830,268742.72
1423400260,291480.12
9161100795,463614.97
3126049052,549024.4
5100401468,380877.28
514500235,473561.2
1423200170,187629.28
1402100070,389954.4
624110020,679796.6
2407000145,214761.62
1890000225,813840.7
1320069271,320289.6
5490700085,338559.97
263000155,482949.1
3726800201,471945.12
5153200358,269131.2
2725079018,755521.8
7165700200,245487.22
9429000170,584866.0
8718500075,369256.03
1760650950,309337.9
1068000559,1188230.4
4113800500,569225.7
4077800507,499323.9
2725069150,722342.3
4008400035,635120.7
7016310270,437335.88
1432701230,213794.34
3278606050,422609.56
2473350710,363968.16
2185000685,192155.9
7792000025,333614.84
6868200029,446154.25
624069003,769993.56
7431500280,910096.25
3296000040,558457.25
1118001215,1655185.4
6453900040,690698.56
333100209,675985.56
34001765,634115.94
8946700100,388456.7
5561401210,592718.8
6671900095,359456.25
3275850020,732729.5
3876300600,388595.22
1450900020,262283.0
8562780280,323105.97
7663700973,303410.66
2126049032,366423.8
1823059159,216771.92
3438503426,317048.66
9297301495,493749.03
7140700850,373367.78
